rbd;carrera;porc
1;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;12.50%
1;Tecnico De Nivel Superior En Fabricacion Y Montaje De Estructuras Metalicas;12.50%
1;Derecho;6.25%
1;Edificacion;6.25%
1;Electricidad Industrial Mencion Instalaciones Electricas;6.25%
1;Gastronomia Internacional;6.25%
1;Ingenierias Mecanica Y Mecatronica Ingreso Comun;6.25%
1;Mecanica Automotriz En Sistemas Electronicos;6.25%
1;Proyectos Electricos De Distribucion;6.25%
1;Psicologia;6.25%
1;Tecnico De Nivel Superior En Educacion Parvularia;6.25%
1;Tecnico En Educacion Especial;6.25%
1;Tecnico En Enfermeria;6.25%
1;Automatizacion Y Control Industrial;1.00%
4;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;6.73%
4;Enfermeria;5.77%
4;Ingenieria Civil Industrial;5.77%
4;Trabajo Social;5.77%
4;Derecho;4.81%
4;Diseño Multimedia;3.85%
4;Ingenieria Civil En Computacion E Informatica;3.85%
4;Kinesiologia Y Rehabilitacion;3.85%
4;Obstetricia Y Puericultura Con Mencion En Gestion Y Salud Familiar;3.85%
4;Ingenierias Mecanica Y Mecatronica Ingreso Comun;2.88%
4;Medicina;2.88%
4;Tecnologia Medica / Imagenologia Y Fisica Medica;2.88%
4;Tecnologia Medica /Laboratorio Clinico, Hematologia Y Banco De Sangre;2.88%
4;Ingenieria En Informatica;1.92%
4;Licenciatura En Ingles;1.92%
4;Tecnico De Nivel Superior En Enfermeria;1.92%
4;Terapia Ocupacional;1.92%
4;Actuacion;0.96%
4;Agronomia;0.96%
4;Analista Programador;0.96%
4;Antropologia;0.96%
4;Arquitectura;0.96%
4;Construccion Civil;0.96%
4;Contador Auditor-Contador Publico;0.96%
4;Deportes Y Recreacion;0.96%
4;Fonoaudiologia;0.96%
4;Ingenieria Civil Biomedica;0.96%
4;Ingenieria Civil Electronica;0.96%
4;Ingenieria Civil En Electricidad;0.96%
4;Ingenieria Civil En Metalurgia;0.96%
4;Ingenieria Civil Metalurgia;0.96%
4;Ingenieria Civil Plan Comun;0.96%
4;Ingenieria Comercial;0.96%
4;Ingenieria De Ejecucion En Administracion;0.96%
4;Ingenieria Y Ciencias - Plan Comun;0.96%
4;Kinesiologia;0.96%
4;Licenciatura En Fisica Mencion Astronomia;0.96%
4;Nutricion Y Dietetica;0.96%
4;Obstetricia Y Puericultura;0.96%
4;Odontologia;0.96%
4;Pedagogia En Biologia Y Ciencias Naturales;0.96%
4;Pedagogia En Educacion Basica;0.96%
4;Pedagogia En Educacion Media En Matematicas Y Fisica;0.96%
4;Pedagogia En Ingles;0.96%
4;Pedagogia En Matematica;0.96%
4;Programa Academico De Bachillerato;0.96%
4;Psicologia;0.96%
4;Quimico Laboratorista;0.96%
4;Tecnico De Nivel Superior En Administracion De Empresas;0.96%
4;Tecnico De Nivel Superior En Control De Gestion Y Logistica;0.96%
4;Tecnico De Nivel Superior En Trabajo Social;0.96%
4;Tecnico En Educacion Especial;0.96%
4;Tecnico En Enfermeria;0.96%
4;Tecnologia Medica / Oftalmologia Y Optometria;0.96%
4;Tecnologia Medica Con Mencion;0.96%
5;Derecho;8.11%
5;Diseño Multimedia;5.41%
5;Ingenieria Civil En Computacion E Informatica;5.41%
5;Ingenieria Comercial;5.41%
5;Psicopedagogia;5.41%
5;Tecnologia Medica / Imagenologia Y Fisica Medica;5.41%
5;Deportes Y Recreacion;2.70%
5;Geologia;2.70%
5;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;2.70%
5;Ingenieria De Ejecucion En Administracion;2.70%
5;Ingenieria En Biotecnologia Molecular;2.70%
5;Licenciatura En Ingles;2.70%
5;Nutricion Y Dietetica;2.70%
5;Obstetricia Y Puericultura Con Mencion En Gestion Y Salud Familiar;2.70%
5;Pedagogia En Biologia Y Ciencias Naturales;2.70%
5;Pedagogia En Castellano Y Comunicacion;2.70%
5;Pedagogia En Educacion Diferencial;2.70%
5;Pedagogia En Historia Y Geografia;2.70%
5;Pedagogia En Musica;2.70%
5;Profesor De Educacion Fisica;2.70%
5;Programa Academico De Bachillerato;2.70%
5;Proyectos Electricos De Distribucion;2.70%
5;Psicologia;2.70%
5;Quimico Laboratorista;2.70%
5;Tecnico De Nivel Superior En Fabricacion Y Montaje De Estructuras Metalicas;2.70%
5;Tecnico De Nivel Superior En Laboratorista Clinico, Banco De Sangre E Imagenologia;2.70%
5;Tecnico De Nivel Superior Traductor Bilingãƒâœe Ingles-Español;2.70%
5;Tecnico En Educacion Especial;2.70%
5;Tecnologia Medica / Oftalmologia Y Optometria;2.70%
5;Trabajo Social;2.70%
7;Gastronomia Internacional;17.39%
7;Analista Programador;6.52%
7;Automatizacion Y Control Industrial;6.52%
7;Trabajo Social;6.52%
7;Administracion De Empresas;4.35%
7;Deportes Y Recreacion;4.35%
7;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;4.35%
7;Mecanica Automotriz En Sistemas Electronicos;4.35%
7;Tecnico De Nivel Superior En Enfermeria;4.35%
7;Tecnico En Enfermeria;4.35%
7;Turismo;4.35%
7;Asistencia Juridica;2.17%
7;Diseño Multimedia;2.17%
7;Edificacion;2.17%
7;Ingenieria Civil En Computacion E Informatica;2.17%
7;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;2.17%
7;Ingenieria En Informatica;2.17%
7;Ingenierias Mecanica Y Mecatronica Ingreso Comun;2.17%
7;Licenciatura En Educacion Y Pedagogia En Educacion Parvularia;2.17%
7;Preparador Fisico;2.17%
7;Profesor De Educacion Fisica;2.17%
7;Proyectos Electricos De Distribucion;2.17%
7;Tecnico De Nivel Superior En Administracion De Empresas;2.17%
7;Tecnico De Nivel Superior En Control De Gestion Y Logistica;2.17%
7;Tecnico De Nivel Superior En Fabricacion Y Montaje De Estructuras Metalicas;2.17%
7;Tecnico En Educacion Parvularia;2.17%
8;Tecnico De Nivel Superior En Enfermeria;16.67%
8;Tecnico De Nivel Superior En Laboratorista Clinico, Banco De Sangre E Imagenologia;16.67%
8;Diseño Multimedia;8.33%
8;Gastronomia Internacional;8.33%
8;Ingenieria Civil En Computacion E Informatica;8.33%
8;Ingenieria Civil Industrial;8.33%
8;Ingenieria Comercial;8.33%
8;Quimico Laboratorista;8.33%
8;Terapia Ocupacional;8.33%
8;Turismo;8.33%
15;Diseño Multimedia;16.67%
15;Electronica Industrial;16.67%
15;Ingenieria Civil En Computacion E Informatica;16.67%
15;Tecnico De Nivel Superior En Control De Gestion Y Logistica;16.67%
15;Tecnico En Enfermeria;16.67%
15;Trabajo Social;16.67%
32;Deportes Y Recreacion;33.33%
32;Tecnico De Nivel Superior En Administracion De Empresas;33.33%
32;Tecnico De Nivel Superior En Trabajo Social;33.33%
45;Ingenieria Civil Industrial;15.00%
45;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;10.00%
45;Psicologia;10.00%
45;Quimico Laboratorista;10.00%
45;Bioquimica Y Licenciatura En Bioquimica;5.00%
45;Enfermeria;5.00%
45;Ingenieria Civil En Computacion E Informatica;5.00%
45;Ingenieria De Ejecucion En Administracion;5.00%
45;Ingenieria Quimica Ambiental;5.00%
45;Kinesiologia Y Rehabilitacion;5.00%
45;Medicina;5.00%
45;Nutricion Y Dietetica;5.00%
45;Tecnico De Nivel Superior En Laboratorista Clinico, Banco De Sangre E Imagenologia;5.00%
45;Tecnico En Administracion;5.00%
45;Tecnologia Medica / Oftalmologia Y Optometria;5.00%
50;Ingenieria Civil Plan Comun;15.38%
50;Administracion De Empresas;7.69%
50;Antropologia;7.69%
50;Enfermeria;7.69%
50;Ingenieria Civil Ambiental;7.69%
50;Ingenieria Civil Industrial;7.69%
50;Kinesiologia;7.69%
50;Obstetricia Y Puericultura;7.69%
50;Pedagogia En Educacion Fisica;7.69%
50;Psicologia;7.69%
50;Teologia;7.69%
50;Trabajo Social;7.69%
52;Ingenieria Civil Industrial;6.42%
52;Comercio Exterior;5.50%
52;Psicologia;5.50%
52;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;4.59%
52;Kinesiologia Y Rehabilitacion;4.59%
52;Derecho;3.67%
52;Enfermeria;3.67%
52;Ingenieria Civil En Computacion E Informatica;3.67%
52;Ingenieria Comercial;3.67%
52;Tecnologia Medica / Imagenologia Y Fisica Medica;3.67%
52;Agronomia;2.75%
52;Educacion Parvularia;2.75%
52;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;2.75%
52;Contador Auditor-Contador Publico;1.83%
52;Diseño Grafico Profesional;1.83%
52;Diseño Multimedia;1.83%
52;Gastronomia Internacional;1.83%
52;Ingenieria En Informatica;1.83%
52;Mecanica Automotriz En Sistemas Electronicos;1.83%
52;Obstetricia Y Puericultura Con Mencion En Gestion Y Salud Familiar;1.83%
52;Pedagogia En Educacion Basica;1.83%
52;Psicopedagogia;1.83%
52;Tecnico Juridico;1.83%
52;Tecnologia Medica /Laboratorio Clinico, Hematologia Y Banco De Sangre;1.83%
52;Trabajo Social;1.83%
52;Administracion De Empresas;0.92%
52;Administracion Publica;0.92%
52;Analista Programador;0.92%
52;Animacion Digital;0.92%
52;Antropologia;0.92%
52;Asistencia Juridica;0.92%
52;Automatizacion Y Control Industrial;0.92%
52;Construccion Civil;0.92%
52;Deportes Y Recreacion;0.92%
52;Diseño Mencion Comunicacion/Equipamiento;0.92%
52;Edificacion;0.92%
52;Ingenierias Mecanica Y Mecatronica Ingreso Comun;0.92%
52;Medicina Veterinaria;0.92%
52;Nutricion Y Dietetica;0.92%
52;Odontologia;0.92%
52;Pedagogia En Castellano;0.92%
52;Pedagogia En Fisica Y Matematica;0.92%
52;Pedagogia En Historia Y Geografia;0.92%
52;Quimico Laboratorista;0.92%
52;Tecnico De Nivel Superior Administracion De Empresas Marketing Y Gestion Comercial;0.92%
52;Tecnico De Nivel Superior En Control De Gestion Y Logistica;0.92%
52;Tecnico En Administracion Publica;0.92%
52;Tecnico En Educacion Parvularia;0.92%
52;Tecnico En Enfermeria;0.92%
52;Tecnologia Medica;0.92%
52;Tecnologia Medica / Oftalmologia Y Optometria;0.92%
52;Turismo;0.92%
56;Derecho;15.79%
56;Derecho;15.38%
56;Medicina;15.38%
56;Ingenieria Civil Industrial;15.38%
56;Agronomia;10.53%
56;Administracion De Artes Culinarias Y Servicios;7.69%
56;Bachillerato En Ciencias Sociales Y Humanidades;7.69%
56;Ingenieria Civil Industrial;7.69%
56;Ingenieria Civil Mecatronica;7.69%
56;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;7.69%
56;Ingenieria Comercial;7.69%
56;Ingenieria En Comercio Exterior;7.69%
56;Periodismo;7.69%
56;Tecnologia Medica / Imagenologia Y Fisica Medica;7.69%
56;Arquitectura;7.69%
56;Fonoaudiologia;7.69%
56;Ingenieria Civil En Computacion E Informatica;7.69%
56;Ingenieria Comercial;7.69%
56;Ingenieria En Biotecnologia;7.69%
56;Ingenieria Quimica Ambiental;7.69%
56;Ingenierias Mecanica Y Mecatronica Ingreso Comun;7.69%
56;Kinesiologia Y Rehabilitacion;7.69%
56;Mecanica Automotriz En Sistemas Electronicos;7.69%
56;Psicologia;7.69%
56;Terapia Ocupacional;7.69%
56;Arquitectura;5.26%
56;Bioquimica;5.26%
56;Construccion Civil;5.26%
56;Enfermeria;5.26%
56;Ingenieria Civil Industrial;5.26%
56;Ingenieria Civil Y Ejecucion Electrica-Electronica Ingreso Comun;5.26%
56;Ingenieria En Construccion;5.26%
56;Ingenieria Y Ciencias - Plan Comun;5.26%
56;Ingenierias Mecanica Y Mecatronica Ingreso Comun;5.26%
56;Medicina;5.26%
56;Medicina Veterinaria;5.26%
56;Obstetricia Y Puericultura Con Mencion En Gestion Y Salud Familiar;5.26%
56;Psicologia;5.26%
56;Quimico Laboratorista;5.26%
59;Derecho;50.00%
59;Ingenieria Comercial;25.00%
59;Publicidad;25.00%
59;Enfermeria;12.50%
59;Ingenieria Comercial;12.50%
59;Administracion De Empresas;6.25%
59;Arquitectura;6.25%
59;Diseño;6.25%
59;Diseño Multimedia;6.25%
59;Ingenieria Civil;6.25%
59;Ingenieria Civil Mecanica;6.25%
59;Ingenierias Mecanica Y Mecatronica Ingreso Comun;6.25%
59;Obstetricia Y Puericultura;6.25%
59;Obstetricia Y Puericultura Con Mencion En Gestion Y Salud Familiar;6.25%
59;Odontologia;6.25%
59;Pedagogia En Educacion Media En Matematicas Y Fisica;6.25%
60;Deportes Y Recreacion;100.00%
60;Agronomia;100.00%
60;Administracion De Empresas;17.65%
60;Terapia Ocupacional;6.25%
60;Contador Auditor;5.88%
60;Gastronomia Internacional;5.88%
60;Ingenieria Comercial;5.88%
67;Diseño Grafico Profesional;33.33%
67;Tecnico De Nivel Superior Asistente En Educacion De Parvulos;33.33%
67;Tecnico Juridico;33.33%
67;Tecnico De Nivel Superior Comercio Exterior;17.65%
67;Preparador Fisico;11.76%
67;Tecnico De Nivel Superior Administracion Y Gestion De Personal;11.76%
67;Ingenieria De Ejecucion En Administracion De Recursos Humanos;5.88%
67;Ingenieria En Minas;5.88%
67;Tecnico De Nivel Superior Operaciones Mina;5.88%
67;Tecnico De Nivel Superior Traductor Bilingãƒâœe Ingles-Español;5.88%
69;Administracion De Empresas;20.00%
69;Gastronomia Internacional;10.00%
69;Ingenieria Civil De Minas;10.00%
69;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;10.00%
69;Ingenieria En Minas;10.00%
72;Administracion Gastronomica Internacional;13.64%
72;Medicina Veterinaria;10.00%
72;Psicopedagogia;10.00%
72;Tecnico De Nivel Superior Comercio Exterior;10.00%
72;Tecnico De Nivel Superior Enfermeria;10.00%
72;Derecho;9.09%
72;Biologia Marina;4.55%
72;Cocina Internacional Y Tradicional Chilena;4.55%
72;Comercio Exterior;4.55%
72;Ingenieria Civil En Computacion E Informatica;4.55%
72;Ingenieria Civil En Informatica;4.55%
72;Ingenieria En Informacion Y Control De Gestion;4.55%
72;Ingenieria Matematica;4.55%
72;Kinesiologia;4.55%
78;Medicina;4.55%
78;Pedagogia En Educacion Basica;4.55%
78;Pedagogia En Ingles Para Enseñanza Pre-Escolar, Basica Y Media Con Bachiller En Lengua Inglesa Y Licenciatura En Educacion;4.55%
97;Psicologia;4.55%
97;Servicio Social;4.55%
97;Tecnico Juridico;4.55%
103;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;22.22%
103;Administracion Gastronomica Internacional;11.11%
103;Cocina Internacional Y Tradicional Chilena;11.11%
103;Educacion Parvularia;11.11%
103;Ingenieria En Maquinaria Pesada Y Vehiculos Automotrices;11.11%
103;Pedagogia En Educacion Fisica;11.11%
103;Tecnico En Educacion Especial;11.11%
103;Tecnico En Enfermeria;11.11%
103;Topografia;4.55%
103;Trabajo Social;4.55%
103;Traduccion Ingles Castellano Ingles Mencion Frances;4.55%
106;Educacion Parvularia;20.00%
106;Administracion Gastronomica Internacional;10.00%
106;Ingenieria En Administracion De Empresas Mencion Finanzas;10.00%
107;Administracion Gastronomica Internacional;12.50%
107;Agronomia;12.50%
107;Construccion Civil;12.50%
107;Ingenieria En Biotecnologia;10.00%
107;Ingenieria En Construccion;10.00%
107;Nutricion Y Dietetica;10.00%
107;Quimica Ambiental;10.00%
107;Tecnico De Nivel Superior Administracion De Empresas Marketing Y Gestion Comercial;10.00%
107;Tecnico De Nivel Superior Analisis Quimico;10.00%
108;Ingenieria Mecanica En Mantenimiento Industrial;16.22%
108;Ingenieria En Telecomunicaciones, Conectividad Y Redes;13.51%
108;Derecho;12.50%
108;Ingenieria Civil De Minas;12.50%
108;Ingenieria Civil Industrial;12.50%
108;Ingenieria Civil Matematica;12.50%
108;Tecnico De Nivel Superior En Construccion;12.50%
108;Ingenieria En Informatica;8.11%
108;Diseño Grafico Profesional;5.41%
108;Administracion De Empresas;2.70%
108;Automatizacion Y Control Industrial;2.70%
108;Computacion E Informatica;2.70%
108;Contador Auditor;2.70%
108;Derecho;2.70%
