region;cod_region;ano;pib
Región de Arica y Parinacota;15;2014;1035
Región de Tarapacá ;1;2014;3463
Región de Antofagasta ;2;2014;15079
Región de Atacama ;3;2014;3507
Región de Coquimbo ;4;2014;4243
Región de Valparaíso ;5;2014;12101
Región Metropolitana de Santiago ;13;2014;61601
Región del Libertador General Bernardo O’Higgins ;6;2014;6706
Región del Maule ;7;2014;4618
Región del Biobío ;8;2014;10881
Región de La Araucanía ;9;2014;3531
Región deLos Ríos ;14;2014;1937
Región de Los Lagos ;10;2014;4680
Región de Aysén del General Carlos Ibáñez del Campo ;11;2014;897
Región de Magallanes y de la Antártica Chilena ;12;2014;1550
Región de Arica y Parinacota;15;2015;1173
Región de Tarapacá ;1;2015;3399
Región de Antofagasta ;2;2015;14570
Región de Atacama ;3;2015;3203
Región de Coquimbo ;4;2015;4261
Región de Valparaíso ;5;2015;13515
Región Metropolitana de Santiago ;13;2015;67247
Región del Libertador General Bernardo O’Higgins ;6;2015;7294
Región del Maule ;7;2015;5463
Región del Biobío ;8;2015;12169
Región de La Araucanía ;9;2015;4011
Región deLos Ríos ;14;2015;2138
Región de Los Lagos ;10;2015;4803
Región de Aysén del General Carlos Ibáñez del Campo ;11;2015;757
Región de Magallanes y de la Antártica Chilena ;12;2015;1560
Región de Arica y Parinacota;15;2016;1271
Región de Tarapacá ;1;2016;3531
Región de Antofagasta ;2;2016;14421
Región de Atacama ;3;2016;3561
Región de Coquimbo ;4;2016;4560
Región de Valparaíso ;5;2016;14599
Región Metropolitana de Santiago ;13;2016;71870
Región del Libertador General Bernardo O’Higgins ;6;2016;7730
Región del Maule ;7;2016;5756
Región del Biobío ;8;2016;12842
Región de La Araucanía ;9;2016;4430
Región deLos Ríos ;14;2016;2268
Región de Los Lagos ;10;2016;5385
Región de Aysén del General Carlos Ibáñez del Campo ;11;2016;987
Región de Magallanes y de la Antártica Chilena ;12;2016;1719
Región de Arica y Parinacota;15;2017;1388
Región de Tarapacá ;1;2017;4033
Región de Antofagasta ;2;2017;15979
Región de Atacama ;3;2017;4132
Región de Coquimbo ;4;2017;5025
Región de Valparaíso ;5;2017;15517
Región Metropolitana de Santiago ;13;2017;74833
Región del Libertador General Bernardo O’Higgins ;6;2017;8044
Región del Maule ;7;2017;5852
Región del Biobío ;8;2017;13497
Región de La Araucanía ;9;2017;4694
Región deLos Ríos ;14;2017;2382
Región de Los Lagos ;10;2017;6174
Región de Aysén del General Carlos Ibáñez del Campo ;11;2017;1090
Región de Magallanes y de la Antártica Chilena ;12;2017;1904
