Region;Comuna;id_relacion;ano;total
XV Arica y Parinacota;Arica;15101;2015;235,677
XV Arica y Parinacota;Camarones;15102;2015;778
XV Arica y Parinacota;General Lagos;15202;2015;594
XV Arica y Parinacota;Putre;15201;2015;2,077
I Tarapacá;Alto Hospicio;1107;2015;112,142
I Tarapacá;Camiña;1402;2015;1,293
I Tarapacá;Colchane;1403;2015;1,696
I Tarapacá;Huara;1404;2015;2,936
I Tarapacá;Iquique;1101;2015;198,123
I Tarapacá;Pica;1405;2015;6,639
I Tarapacá;Pozo Almonte;1401;2015;13,940
II Antofagasta;Antofagasta;2101;2015;378,244
II Antofagasta;Calama;2201;2015;176,459
II Antofagasta;María Elena;2302;2015;5,162
II Antofagasta;Mejillones;2102;2015;11,309
II Antofagasta;Ollagüe;2202;2015;313
II Antofagasta;San Pedro de Atacama;2203;2015;7,418
II Antofagasta;Sierra Gorda;2103;2015;3,095
II Antofagasta;Taltal;2104;2015;13,050
II Antofagasta;Tocopilla;2301;2015;27,590
III Atacama;Alto del Carmen;3302;2015;6,305
III Atacama;Caldera;3102;2015;17,542
III Atacama;Chañaral;3201;2015;13,725
III Atacama;Copiapó;3101;2015;172,231
III Atacama;Diego de Almagro;3202;2015;15,224
III Atacama;Freirina;3303;2015;6,915
III Atacama;Huasco;3304;2015;10,263
III Atacama;Tierra Amarilla;3103;2015;17,194
III Atacama;Vallenar;3301;2015;53,087
IV Coquimbo;Andacollo;4103;2015;11,415
IV Coquimbo;Canela;4202;2015;9,903
IV Coquimbo;Combarbalá;4302;2015;15,299
IV Coquimbo;Coquimbo;4102;2015;231,507
IV Coquimbo;Illapel;4201;2015;32,822
IV Coquimbo;La Higuera;4104;2015;4,622
IV Coquimbo;La Serena;4101;2015;216,874
IV Coquimbo;Los Vilos;4203;2015;20,122
IV Coquimbo;Monte Patria;4303;2015;33,796
IV Coquimbo;Ovalle;4301;2015;120,469
IV Coquimbo;Paiguano;4105;2015;4,492
IV Coquimbo;Punitaqui;4304;2015;10,805
IV Coquimbo;Río Hurtado;4305;2015;4,992
IV Coquimbo;Salamanca;4204;2015;27,298
IV Coquimbo;Vicuña;4106;2015;26,669
V Valparaíso;Algarrobo;5602;2015;10,474
V Valparaíso;Cabildo;5402;2015;20,117
V Valparaíso;Calle Larga;5302;2015;14,405
V Valparaíso;Cartagena;5603;2015;20,213
V Valparaíso;Casablanca;5102;2015;28,831
V Valparaíso;Catemu;5702;2015;13,960
V Valparaíso;Concón;5103;2015;48,778
V Valparaíso;El Quisco;5604;2015;13,093
V Valparaíso;El Tabo;5605;2015;10,116
V Valparaíso;Hijuelas;5503;2015;18,050
V Valparaíso;Isla de Pascua;5201;2015;6,370
V Valparaíso;Juan Fernández;5104;2015;857
V Valparaíso;Calera;5502;2015;55,121
V Valparaíso;La Cruz;5504;2015;19,145
V Valparaíso;La Ligua;5401;2015;33,878
V Valparaíso;Limache;5802;2015;45,398
V Valparaíso;Llaillay;5703;2015;24,680
V Valparaíso;Los Andes;5301;2015;68,041
V Valparaíso;Nogales;5506;2015;23,783
V Valparaíso;Olmué;5803;2015;15,987
V Valparaíso;Panquehue;5704;2015;7,333
V Valparaíso;Papudo;5403;2015;5,263
V Valparaíso;Petorca;5404;2015;10,323
V Valparaíso;Puchuncaví;5105;2015;17,762
V Valparaíso;Putaendo;5705;2015;16,391
V Valparaíso;Quillota;5501;2015;93,633
V Valparaíso;Quilpué;5801;2015;168,070
V Valparaíso;Quintero;5107;2015;27,667
V Valparaíso;Rinconada;5303;2015;10,396
V Valparaíso;San Antonio;5601;2015;96,764
V Valparaíso;San Esteban;5304;2015;18,480
V Valparaíso;San Felipe;5701;2015;73,842
V Valparaíso;Santa María;5706;2015;15,665
V Valparaíso;Santo Domingo;5606;2015;9,299
V Valparaíso;Valparaíso;5101;2015;295,489
V Valparaíso;Villa Alemana;5804;2015;138,348
V Valparaíso;Viña del Mar;5109;2015;323,530
V Valparaíso;Zapallar;5405;2015;6,205
Región Metropolitana;Alhué;13502;2015;5,728
Región Metropolitana;Buin;13402;2015;83,211
Región Metropolitana;Calera de Tango;13403;2015;24,577
Región Metropolitana;Cerrillos;13102;2015;85,349
Región Metropolitana;Cerro Navia;13103;2015;158,299
Región Metropolitana;Colina;13301;2015;121,233
Región Metropolitana;Conchalí;13104;2015;141,089
Región Metropolitana;Curacaví;13503;2015;29,641
Región Metropolitana;El Bosque;13105;2015;193,915
Región Metropolitana;El Monte;13602;2015;35,673
Región Metropolitana;Estación Central;13106;2015;144,982
Región Metropolitana;Huechuraba;13107;2015;95,912
Región Metropolitana;Independencia;13108;2015;83,059
Región Metropolitana;Isla de Maipo;13603;2015;35,298
Región Metropolitana;La Cisterna;13109;2015;92,580
Región Metropolitana;La Florida;13110;2015;388,805
Región Metropolitana;La Granja;13111;2015;143,237
Región Metropolitana;La Pintana;13112;2015;212,656
Región Metropolitana;La Reina;13113;2015;101,548
Región Metropolitana;Lampa;13302;2015;86,975
Región Metropolitana;Las Condes;13114;2015;283,417
Región Metropolitana;Lo Barnechea;13115;2015;103,919
Región Metropolitana;Lo Espejo;13116;2015;120,014
Región Metropolitana;Lo Prado;13117;2015;112,879
Región Metropolitana;Macul;13118;2015;124,015
Región Metropolitana;Maipú;13119;2015;549,788
Región Metropolitana;María Pinto;13504;2015;12,901
Región Metropolitana;Melipilla;13501;2015;116,680
Región Metropolitana;Ñuñoa;13120;2015;220,779
Región Metropolitana;Padre Hurtado;13604;2015;55,909
Región Metropolitana;Paine;13404;2015;66,855
Región Metropolitana;Pedro Aguirre Cerda;13121;2015;122,304
Región Metropolitana;Peñaflor;13605;2015;89,892
Región Metropolitana;Peñalolén;13122;2015;242,766
Región Metropolitana;Pirque;13202;2015;21,998
Región Metropolitana;Providencia;13123;2015;147,533
Región Metropolitana;Pudahuel;13124;2015;233,252
Región Metropolitana;Puente Alto;13201;2015;610,118
Región Metropolitana;Quilicura;13125;2015;209,417
Región Metropolitana;Quinta Normal;13126;2015;114,958
Región Metropolitana;Recoleta;13127;2015;168,342
Región Metropolitana;Renca;13128;2015;151,500
Región Metropolitana;San Bernardo;13401;2015;297,262
Región Metropolitana;San Joaquín;13129;2015;104,327
Región Metropolitana;San José de Maipo;13203;2015;15,003
Región Metropolitana;San Miguel;13130;2015;110,237
Región Metropolitana;San Pedro;13505;2015;9,621
Región Metropolitana;San Ramón;13131;2015;99,749
Región Metropolitana;Santiago;13101;2015;358,332
Región Metropolitana;Talagante;13601;2015;70,720
Región Metropolitana;Tiltil;13303;2015;17,599
Región Metropolitana;Vitacura;13132;2015;88,323
VI O'Higgins;Chépica;6302;2015;16,081
VI O'Higgins;Chimbarongo;6303;2015;37,424
VI O'Higgins;Codegua;6102;2015;14,166
VI O'Higgins;Coinco;6103;2015;7,191
VI O'Higgins;Coltauco;6104;2015;19,703
VI O'Higgins;Doñihue;6105;2015;20,318
VI O'Higgins;Graneros;6106;2015;33,726
VI O'Higgins;La Estrella;6202;2015;3,305
VI O'Higgins;Las Cabras;6107;2015;23,960
VI O'Higgins;Litueche;6203;2015;6,303
VI O'Higgins;Lolol;6304;2015;6,994
VI O'Higgins;Machalí;6108;2015;51,665
VI O'Higgins;Malloa;6109;2015;13,861
VI O'Higgins;Marchihue;6204;2015;7,594
VI O'Higgins;Mostazal;6110;2015;26,433
VI O'Higgins;Nancagua;6305;2015;17,075
VI O'Higgins;Navidad;6205;2015;5,958
VI O'Higgins;Olivar;6111;2015;15,025
VI O'Higgins;Palmilla;6306;2015;13,260
VI O'Higgins;Paredones;6206;2015;6,439
VI O'Higgins;Peralillo;6307;2015;11,562
VI O'Higgins;Peumo;6112;2015;16,089
VI O'Higgins;Pichidegua;6113;2015;20,216
VI O'Higgins;Pichilemu;6201;2015;14,408
VI O'Higgins;Placilla;6308;2015;9,254
VI O'Higgins;Pumanque;6309;2015;3,470
VI O'Higgins;Quinta de Tilcoco;6114;2015;13,241
VI O'Higgins;Rancagua;6101;2015;233,389
VI O'Higgins;Rengo;6115;2015;61,102
VI O'Higgins;Requínoa;6116;2015;31,405
VI O'Higgins;San Fernando;6301;2015;73,586
VI O'Higgins;San Vicente;6117;2015;46,985
VI O'Higgins;Santa Cruz;6310;2015;37,563
VII Maule;Cauquenes;7201;2015;40,661
VII Maule;Chanco;7202;2015;9,103
VII Maule;Colbún;7402;2015;19,444
VII Maule;Constitución;7102;2015;50,754
VII Maule;Curepto;7103;2015;10,852
VII Maule;Curicó;7301;2015;144,025
VII Maule;Empedrado;7104;2015;4,478
VII Maule;Hualañé;7302;2015;10,241
VII Maule;Licantén;7303;2015;7,267
VII Maule;Linares;7401;2015;91,030
VII Maule;Longaví;7403;2015;29,526
VII Maule;Maule;7105;2015;49,334
VII Maule;Molina;7304;2015;42,273
VII Maule;Parral;7404;2015;38,686
VII Maule;Pelarco;7106;2015;7,936
VII Maule;Pelluhue;7203;2015;7,623
VII Maule;Pencahue;7107;2015;8,845
VII Maule;Rauco;7305;2015;10,044
VII Maule;Retiro;7405;2015;19,706
VII Maule;Río Claro;7108;2015;13,509
VII Maule;Romeral;7306;2015;15,112
VII Maule;Sagrada Familia;7307;2015;19,537
VII Maule;San Clemente;7109;2015;41,556
VII Maule;San Javier;7406;2015;41,099
VII Maule;San Rafael;7110;2015;9,782
VII Maule;Talca;7101;2015;233,339
VII Maule;Teno;7308;2015;28,504
VII Maule;Vichuquén;7309;2015;5,134
VII Maule;Villa Alegre;7407;2015;15,350
VII Maule;Yerbas Buenas;7408;2015;18,239
VIII Biobío;Alto Biobío;8314;2015;6,118
VIII Biobío;Antuco;8302;2015;3,945
VIII Biobío;Arauco;8202;2015;38,270
VIII Biobío;Bulnes;16102;2015;21,963
VIII Biobío;Cabrero;8303;2015;29,136
VIII Biobío;Cañete;8203;2015;34,202
VIII Biobío;Chiguayante;8103;2015;99,036
VIII Biobío;Chillán;16101;2015;179,632
VIII Biobío;Chillán Viejo;16103;2015;32,319
VIII Biobío;Cobquecura;16202;2015;5,715
VIII Biobío;Coelemu;16203;2015;16,950
VIII Biobío;Coihueco;16302;2015;25,843
VIII Biobío;Concepción;8101;2015;229,017
VIII Biobío;Contulmo;8204;2015;5,581
VIII Biobío;Coronel;8102;2015;115,062
VIII Biobío;Curanilahue;8205;2015;34,894
VIII Biobío;El Carmen;16104;2015;12,898
VIII Biobío;Florida;8104;2015;8,939
VIII Biobío;Hualpén;8112;2015;108,028
VIII Biobío;Hualqui;8105;2015;25,266
VIII Biobío;Laja;8304;2015;24,040
VIII Biobío;Lebu;8201;2015;26,567
VIII Biobío;Los Alamos;8206;2015;23,588
VIII Biobío;Los Angeles;8301;2015;194,870
VIII Biobío;Lota;8106;2015;47,821
VIII Biobío;Mulchén;8305;2015;30,485
VIII Biobío;Nacimiento;8306;2015;28,392
VIII Biobío;Negrete;8307;2015;10,252
VIII Biobío;Ninhue;16204;2015;5,827
VIII Biobío;Ñiquén;16303;2015;11,665
VIII Biobío;Pemuco;16105;2015;9,294
VIII Biobío;Penco;8107;2015;51,611
VIII Biobío;Pinto;16106;2015;11,307
VIII Biobío;Portezuelo;16205;2015;5,635
VIII Biobío;Quilaco;8308;2015;4,103
VIII Biobío;Quilleco;8309;2015;10,033
VIII Biobío;Quillón;16107;2015;16,840
VIII Biobío;Quirihue;16201;2015;13,419
VIII Biobío;Ranquil;16206;2015;6,049
VIII Biobío;San Carlos;16301;2015;53,085
VIII Biobío;San Fabián;16304;2015;4,044
VIII Biobío;San Ignacio;16108;2015;16,019
VIII Biobío;San Nicolás;16305;2015;11,451
VIII Biobío;San Pedro de la Paz;8108;2015;130,703
VIII Biobío;San Rosendo;8310;2015;3,936
VIII Biobío;Santa Bárbara;8311;2015;12,929
VIII Biobío;Santa Juana;8109;2015;13,705
VIII Biobío;Talcahuano;8110;2015;178,052
VIII Biobío;Tirúa;8207;2015;10,458
VIII Biobío;Tomé;8111;2015;55,752
VIII Biobío;Treguaco;16207;2015;5,318
VIII Biobío;Tucapel;8312;2015;14,378
VIII Biobío;Yumbel;8313;2015;21,596
VIII Biobío;Yungay;16109;2015;18,248
IX Araucanía;Angol;9201;2015;55,289
IX Araucanía;Carahue;9102;2015;26,562
IX Araucanía;Cholchol;9121;2015;11,834
IX Araucanía;Collipulli;9202;2015;24,574
IX Araucanía;Cunco;9103;2015;19,047
IX Araucanía;Curacautín;9203;2015;17,221
IX Araucanía;Curarrehue;9104;2015;7,443
IX Araucanía;Ercilla;9204;2015;9,197
IX Araucanía;Freire;9105;2015;24,746
IX Araucanía;Galvarino;9106;2015;12,575
IX Araucanía;Gorbea;9107;2015;15,684
IX Araucanía;Lautaro;9108;2015;36,888
IX Araucanía;Loncoche;9109;2015;23,425
IX Araucanía;Lonquimay;9205;2015;10,957
IX Araucanía;Los Sauces;9206;2015;7,847
IX Araucanía;Lumaco;9207;2015;11,328
IX Araucanía;Melipeuco;9110;2015;5,837
IX Araucanía;Nueva Imperial;9111;2015;33,386
IX Araucanía;Padre Las Casas;9112;2015;86,913
IX Araucanía;Perquenco;9113;2015;7,267
IX Araucanía;Pitrufquén;9114;2015;24,672
IX Araucanía;Pucón;9115;2015;27,680
IX Araucanía;Purén;9208;2015;12,973
IX Araucanía;Renaico;9209;2015;10,582
IX Araucanía;Saavedra;9116;2015;12,977
IX Araucanía;Temuco;9101;2015;287,850
IX Araucanía;Teodoro Schmidt;9117;2015;16,163
IX Araucanía;Toltén;9118;2015;11,423
IX Araucanía;Traiguén;9210;2015;19,835
IX Araucanía;Victoria;9211;2015;34,950
IX Araucanía;Vilcún;9119;2015;27,671
IX Araucanía;Villarrica;9120;2015;55,002
XIV Los Ríos;Corral;14102;2015;5,756
XIV Los Ríos;Futrono;14202;2015;16,489
XIV Los Ríos;La Unión;14201;2015;43,291
XIV Los Ríos;Lago Ranco;14203;2015;10,837
XIV Los Ríos;Lanco;14103;2015;17,620
XIV Los Ríos;Los Lagos;14104;2015;22,593
XIV Los Ríos;Máfil;14105;2015;7,460
XIV Los Ríos;Mariquina;14106;2015;22,119
XIV Los Ríos;Paillaco;14107;2015;20,883
XIV Los Ríos;Panguipulli;14108;2015;36,408
XIV Los Ríos;Río Bueno;14204;2015;33,115
XIV Los Ríos;Valdivia;14101;2015;167,861
X Los Lagos;Ancud;10202;2015;43,978
X Los Lagos;Calbuco;10102;2015;34,864
X Los Lagos;Castro;10201;2015;48,665
X Los Lagos;Chaitén;10401;2015;3,740
X Los Lagos;Chonchi;10203;2015;15,234
X Los Lagos;Cochamó;10103;2015;4,124
X Los Lagos;Curaco de Vélez;10204;2015;4,167
X Los Lagos;Dalcahue;10205;2015;15,316
X Los Lagos;Fresia;10104;2015;12,802
X Los Lagos;Frutillar;10105;2015;17,272
X Los Lagos;Futaleufú;10402;2015;3,382
X Los Lagos;Hualaihué;10403;2015;11,051
X Los Lagos;Llanquihue;10107;2015;18,083
X Los Lagos;Los Muermos;10106;2015;16,569
X Los Lagos;Maullín;10108;2015;15,722
X Los Lagos;Osorno;10301;2015;157,630
X Los Lagos;Palena;10404;2015;2,126
X Los Lagos;Puerto Montt;10101;2015;243,825
X Los Lagos;Puerto Octay;10302;2015;9,574
X Los Lagos;Puerto Varas;10109;2015;40,756
X Los Lagos;Puqueldón;10206;2015;4,021
X Los Lagos;Purranque;10303;2015;21,417
X Los Lagos;Puyehue;10304;2015;11,052
X Los Lagos;Queilén;10207;2015;5,560
X Los Lagos;Quellón;10208;2015;30,532
X Los Lagos;Quemchi;10209;2015;9,091
X Los Lagos;Quinchao;10210;2015;8,881
X Los Lagos;Río Negro;10305;2015;13,674
X Los Lagos;San Juan de la Costa;10306;2015;7,525
X Los Lagos;San Pablo;10307;2015;10,490
XI Aysén;Aisén;11201;2015;27,644
XI Aysén;Chile Chico;11401;2015;5,098
XI Aysén;Cisnes;11202;2015;5,341
XI Aysén;Cochrane;11301;2015;3,356
XI Aysén;Coihaique;11101;2015;60,482
XI Aysén;Guaitecas;11203;2015;1,741
XI Aysén;Lago Verde;11102;2015;996
XI Aysén;O'Higgins;11302;2015;672
XI Aysén;Río Ibáñez;11402;2015;2,347
XI Aysén;Tortel;11303;2015;651
XII Magallanes y la Antártica;Antártica;12202;2015;192
XII Magallanes y la Antártica;Cabo de Hornos;12201;2015;2,828
XII Magallanes y la Antártica;Laguna Blanca;12102;2015;581
XII Magallanes y la Antártica;Natales;12401;2015;21,553
XII Magallanes y la Antártica;Porvenir;12301;2015;7,446
XII Magallanes y la Antártica;Primavera;12302;2015;531
XII Magallanes y la Antártica;Punta Arenas;12101;2015;130,165
XII Magallanes y la Antártica;Río Verde;12103;2015;121
XII Magallanes y la Antártica;San Gregorio;12104;2015;321
XII Magallanes y la Antártica;Timaukel;12303;2015;184
XII Magallanes y la Antártica;Torres del Paine;12402;2015;739
XV Arica y Parinacota;Arica;15101;2016;239,710
XV Arica y Parinacota;Camarones;15102;2016;778
XV Arica y Parinacota;General Lagos;15202;2016;577
XV Arica y Parinacota;Putre;15201;2016;2,084
I Tarapacá;Alto Hospicio;1107;2016;118,413
I Tarapacá;Camiña;1402;2016;1,278
I Tarapacá;Colchane;1403;2016;1,688
I Tarapacá;Huara;1404;2016;2,943
I Tarapacá;Iquique;1101;2016;199,629
I Tarapacá;Pica;1405;2016;6,653
I Tarapacá;Pozo Almonte;1401;2016;14,156
II Antofagasta;Antofagasta;2101;2016;384,065
II Antofagasta;Calama;2201;2016;179,200
II Antofagasta;María Elena;2302;2016;5,000
II Antofagasta;Mejillones;2102;2016;11,541
II Antofagasta;Ollagüe;2202;2016;311
II Antofagasta;San Pedro de Atacama;2203;2016;7,626
II Antofagasta;Sierra Gorda;2103;2016;3,151
II Antofagasta;Taltal;2104;2016;13,174
II Antofagasta;Tocopilla;2301;2016;27,807
III Atacama;Alto del Carmen;3302;2016;6,412
III Atacama;Caldera;3102;2016;17,830
III Atacama;Chañaral;3201;2016;13,698
III Atacama;Copiapó;3101;2016;175,524
III Atacama;Diego de Almagro;3202;2016;14,939
III Atacama;Freirina;3303;2016;6,992
