ano;id_comuna;Personas_empleo;Personas_capacitacion;Isapre;FONASA_A;FONASA_B;FONASA_C;FONASA_D;comercial;parques;Tasa_hurtos;Fuerza_Trabajo
2014;15101;;;;42154.00;57189.00;21619.00;29368.00;;;;
2014;1101;;;;46714.00;60952.00;37363.00;51421.00;;;;
2014;;;;;12402.00;3084.00;2150.00;2182.00;;;;
2014;2101;;;;38312.00;68857.00;48494.00;77319.00;;;;
2014;2201;;;;17539.00;30729.00;23934.00;43471.00;;;;
2014;3101;;;;23776.00;34783.00;21929.00;40436.00;;;;
2014;4101;;;;33450.00;53363.00;30996.00;46065.00;;;;
2014;13102;;;;12357.00;20002.00;10648.00;16230.00;;;;
2014;;;;;28653.00;31065.00;15865.00;21326.00;;;;
2014;13119;;;;52066.00;110743.00;68663.00;108611.00;;;;
2014;13104;;;;27166.00;43358.00;20603.00;30175.00;;;;
2014;13107;;;;16101.00;21394.00;11068.00;15172.00;;;;
2014;13125;;;;22511.00;35723.00;28932.00;44528.00;;;;
2014;13127;;;;29220.00;48672.00;24103.00;33112.00;;;;
2014;13106;;;;19197.00;36709.00;18245.00;25895.00;;;;
2014;13110;;;;55164.00;91875.00;47611.00;74910.00;;;;
2014;;;;;38167.00;39407.00;20584.00;28705.00;;;;
2014;13120;;;;10665.00;35186.00;14302.00;25717.00;;;;
2014;13113;;;;5272.00;17015.00;7457.00;11147.00;;;;
2014;;;;;49861.00;63634.00;31657.00;43237.00;;;;
2014;13114;;;;11074.00;33920.00;13540.00;22647.00;;;;
2014;13201;;;;83647.00;127989.00;83052.00;120830.00;;;;
2014;13401;;;;59431.00;73207.00;44211.00;59297.00;;;;
2014;8301;;;;41873.00;59309.00;31766.00;35923.00;;;;
2014;8101;;;;40680.00;70556.00;33723.00;44484.00;;;;
2014;8108;;;;19064.00;20111.00;12092.00;14935.00;;;;
2014;8110;;;;33803.00;60622.00;29905.00;44437.00;;;;
2014;8112;;;;6118.00;2195.00;1136.00;1083.00;;;;
2015;15101;5178.00;5178.00;;;;;;;;;0.78
2015;1101;3090.00;438.00;;;;;;;;;0.74
2015;;2428.00;87.00;;;;;;;;;0.79
2015;2101;10942.00;225.00;;;;;;;;;0.67
2015;2201;3229.00;386.00;;;;;;;;;0.86
2015;3101;3209.00;200.00;;;;;;;;;0.81
2015;4101;3668.00;80.00;;;;;;;;;0.79
2015;13102;2194.00;195.00;;;;;;;;;
2015;;;;;;;;;;;;
2015;13119;13265.00;4150.00;;;;;;;;;0.82
2015;13104;2159.00;250.00;;;;;;;;;0.76
2015;13107;1474.00;1573.00;;;;;;;;;
2015;13125;13057.00;280.00;;;;;;;;;0.89
2015;13127;3168.00;1397.00;;;;;;;;;0.74
2015;13106;4133.00;417.00;;;;;;;;;0.79
2015;13110;7417.00;3403.00;;;;;;;;;0.82
2015;;;;;;;;;;;;
2015;13120;1086.00;75.00;;;;;;;;;0.99
