year; id_dpto ;nom_dpto;id_munic;nom_munic;Categoria;p_total;p_cabecera;p_resto
2005;5;Antioquia;5001;Medellín;;2,214,494;2,175,681;38,813
2005;5;Antioquia;5002;Abejorral;;20,249;6,271;13,978
2005;5;Antioquia;5004;Abriaquí;;2,690;858;1,832
2005;5;Antioquia;5021;Alejandría;;3,816;1,896;1,920
2005;5;Antioquia;5030;Amagá;;27,155;14,070;13,085
2005;5;Antioquia;5031;Amalfi;;20,525;10,936;9,589
2005;5;Antioquia;5034;Andes;;41,591;19,176;22,415
2005;5;Antioquia;5036;Angelópolis;;7,641;4,150;3,491
2005;5;Antioquia;5038;Angostura;;12,519;2,096;10,423
2005;5;Antioquia;5040;Anorí;;15,016;5,280;9,736
2005;5;Antioquia;5042;Santafé de Antioquia;;22,903;13,636;9,267
2005;5;Antioquia;5044;Anza;;7,415;1,155;6,260
2005;5;Antioquia;5045;Apartadó;;131,405;111,887;19,518
2005;5;Antioquia;5051;Arboletes;;30,738;12,213;18,525
2005;5;Antioquia;5055;Argelia;;10,091;2,841;7,250
2005;5;Antioquia;5059;Armenia;;5,196;1,762;3,434
2005;5;Antioquia;5079;Barbosa;;42,439;18,608;23,831
2005;5;Antioquia;5086;Belmira;;6,188;1,683;4,505
2005;5;Antioquia;5088;Bello;;371,591;358,139;13,452
2005;5;Antioquia;5091;Betania;;10,246;3,810;6,436
2005;5;Antioquia;5093;Betulia;;16,725;5,159;11,566
2005;5;Antioquia;5101;Ciudad Bolívar;;28,279;16,311;11,968
2005;5;Antioquia;5107;Briceño;;8,783;2,173;6,610
2005;5;Antioquia;5113;Buriticá;;6,955;1,495;5,460
2005;5;Antioquia;5120;Cáceres;;28,945;6,209;22,736
2005;5;Antioquia;5125;Caicedo;;7,686;1,450;6,236
2005;5;Antioquia;5129;Caldas;;67,999;52,696;15,303
2005;5;Antioquia;5134;Campamento;;9,688;2,450;7,238
2005;5;Antioquia;5138;Cañasgordas;;16,816;5,432;11,384
2005;5;Antioquia;5142;Caracolí;;4,855;2,835;2,020
2005;5;Antioquia;5145;Caramanta;;5,510;2,586;2,924
2005;5;Antioquia;5147;Carepa;;43,125;29,105;14,020
2005;5;Antioquia;5148;El Carmen de Viboral;;41,012;22,731;18,281
2005;5;Antioquia;5150;Carolina;;3,971;3,027;944
2005;5;Antioquia;5154;Caucasia;;87,532;69,468;18,064
2005;5;Antioquia;5172;Chigorodó;;58,911;49,631;9,280
2005;5;Antioquia;5190;Cisneros;;9,682;7,804;1,878
2005;5;Antioquia;5197;Cocorná;;15,119;3,993;11,126
2005;5;Antioquia;5206;Concepción;;4,509;1,476;3,033
2005;5;Antioquia;5209;Concordia;;21,420;8,150;13,270
2005;5;Antioquia;5212;Copacabana;;61,234;52,829;8,405
2005;5;Antioquia;5234;Dabeiba;;24,084;8,604;15,480
2005;5;Antioquia;5237;Don Matías;;17,701;11,397;6,304
2005;5;Antioquia;5240;Ebéjico;;12,511;2,128;10,383
2005;5;Antioquia;5250;El Bagre;;46,020;25,395;20,625
2005;5;Antioquia;5264;Entrerrios;;8,447;3,943;4,504
2005;5;Antioquia;5266;Envigado;;174,108;165,420;8,688
2005;5;Antioquia;5282;Fredonia;;22,692;8,608;14,084
2005;5;Antioquia;5284;Frontino;;20,031;7,615;12,416
2005;5;Antioquia;5306;Giraldo;;4,188;1,201;2,987
2005;5;Antioquia;5308;Girardota;;42,566;25,011;17,555
2005;5;Antioquia;5310;Gómez Plata;;11,252;5,072;6,180
2005;5;Antioquia;5313;Granada;;9,789;4,060;5,729
2005;5;Antioquia;5315;Guadalupe;;6,231;1,889;4,342
2005;5;Antioquia;5318;Guarne;;39,541;13,891;25,650
2005;5;Antioquia;5321;Guatapé;;5,838;4,244;1,594
2005;5;Antioquia;5347;Heliconia;;6,656;2,809;3,847
2005;5;Antioquia;5353;Hispania;;4,821;3,031;1,790
2005;5;Antioquia;5360;Itagui;;235,016;213,237;21,779
2005;5;Antioquia;5361;Ituango;;25,088;6,016;19,072
2005;5;Antioquia;5364;Jardín;;14,433;6,965;7,468
2005;5;Antioquia;5368;Jericó;;12,789;7,783;5,006
2005;5;Antioquia;5376;La Ceja;;46,268;38,287;7,981
2005;5;Antioquia;5380;La Estrella;;52,563;28,812;23,751
2005;5;Antioquia;5390;La Pintada;;7,066;5,914;1,152
2005;5;Antioquia;5400;La Unión;;17,842;9,267;8,575
2005;5;Antioquia;5411;Liborina;;9,475;1,856;7,619
2005;5;Antioquia;5425;Maceo;;7,630;3,000;4,630
2005;5;Antioquia;5440;Marinilla;;45,548;32,475;13,073
2005;5;Antioquia;5467;Montebello;;7,523;1,988;5,535
2005;5;Antioquia;5475;Murindó;;3,736;1,100;2,636
2005;5;Antioquia;5480;Mutatá1;;16,428;4,274;12,154
2005;5;Antioquia;5483;Nariño;;15,579;2,525;13,054
2005;5;Antioquia;5490;Necoclí;;47,989;11,249;36,740
2005;5;Antioquia;5495;Nechí;;20,668;10,440;10,228
2005;5;Antioquia;5501;Olaya;;2,916;312;2,604
2005;5;Antioquia;5541;Peñol;;16,241;8,243;7,998
2005;5;Antioquia;5543;Peque;;9,621;1,582;8,039
2005;5;Antioquia;5576;Pueblorrico;;8,294;4,126;4,168
2005;5;Antioquia;5579;Puerto Berrío;;38,953;34,193;4,760
2005;5;Antioquia;5585;Puerto Nare;;16,690;6,529;10,161
2005;5;Antioquia;5591;Puerto Triunfo;;16,248;4,679;11,569
2005;5;Antioquia;5604;Remedios;;22,769;8,112;14,657
2005;5;Antioquia;5607;Retiro;;16,976;8,063;8,913
2005;5;Antioquia;5615;Rionegro;;100,502;64,652;35,850
2005;5;Antioquia;5628;Sabanalarga;;8,193;2,577;5,616
2005;5;Antioquia;5631;Sabaneta;;44,480;35,242;9,238
2005;5;Antioquia;5642;Salgar;;18,206;7,885;10,321
2005;5;Antioquia;5647;San Andrés de Cuerquía;;7,367;2,451;4,916
2005;5;Antioquia;5649;San Carlos;;15,826;6,277;9,549
2005;5;Antioquia;5652;San Francisco;;6,395;2,277;4,118
2005;5;Antioquia;5656;San Jerónimo;;11,627;3,517;8,110
2005;5;Antioquia;5658;San José de La Montaña;;3,103;2,101;1,002
2005;5;Antioquia;5659;San Juan de Urabá;;20,899;6,728;14,171
2005;5;Antioquia;5660;San Luis;;11,009;4,706;6,303
2005;5;Antioquia;5664;San Pedro;;22,066;10,765;11,301
2005;5;Antioquia;5665;San Pedro de Uraba;;28,772;11,679;17,093
2005;5;Antioquia;5667;San Rafael;;13,530;6,402;7,128
2005;5;Antioquia;5670;San Roque;;18,157;5,901;12,256
2005;5;Antioquia;5674;San Vicente;;19,438;6,823;12,615
2005;5;Antioquia;5679;Santa Bárbara;;23,590;10,645;12,945
2005;5;Antioquia;5686;Santa Rosa de Osos;;31,025;14,703;16,322
2005;5;Antioquia;5690;Santo Domingo;;11,567;2,199;9,368
2005;5;Antioquia;5697;El Santuario;;26,287;19,830;6,457
2005;5;Antioquia;5736;Segovia;;35,071;28,048;7,023
2005;5;Antioquia;5756;Sonson;;38,779;15,583;23,196
2005;5;Antioquia;5761;Sopetrán;;13,385;5,954;7,431
2005;5;Antioquia;5789;Támesis;;16,387;6,488;9,899
2005;5;Antioquia;5790;Tarazá;;32,943;17,852;15,091
2005;5;Antioquia;5792;Tarso;;7,155;3,161;3,994
2005;5;Antioquia;5809;Titiribí;;13,317;6,759;6,558
2005;5;Antioquia;5819;Toledo;;5,697;1,345;4,352
2005;5;Antioquia;5837;Turbo;;121,919;47,259;74,660
2005;5;Antioquia;5842;Uramita;;8,304;2,377;5,927
2005;5;Antioquia;5847;Urrao;;38,923;15,125;23,798
2005;5;Antioquia;5854;Valdivia;;17,290;4,848;12,442
2005;5;Antioquia;5856;Valparaíso;;6,324;3,169;3,155
2005;5;Antioquia;5858;Vegachí;;11,293;6,469;4,824
2005;5;Antioquia;5861;Venecia;;13,419;6,156;7,263
2005;5;Antioquia;5873;Vigía del Fuerte;;5,487;2,122;3,365
2005;5;Antioquia;5885;Yalí;;7,734;2,981;4,753
2005;5;Antioquia;5887;Yarumal;;41,240;26,603;14,637
2005;5;Antioquia;5890;Yolombó;;20,025;6,091;13,934
2005;5;Antioquia;5893;Yondó;;15,097;7,180;7,917
2005;5;Antioquia;5895;Zaragoza;;26,959;12,602;14,357
2005;8;Atlántico;8001;Barranquilla;;1,146,359;1,142,312;4,047
2005;8;Atlántico;8078;Baranoa;;51,571;42,840;8,731
2005;8;Atlántico;8137;Campo de La Cruz;;19,107;16,467;2,640
2005;8;Atlántico;8141;Candelaria;;12,035;8,781;3,254
2005;8;Atlántico;8296;Galapa;;32,012;28,687;3,325
2005;8;Atlántico;8372;Juan de Acosta;;14,578;9,134;5,444
2005;8;Atlántico;8421;Luruaco;;23,558;11,190;12,368
2005;8;Atlántico;8433;Malambo;;101,280;95,258;6,022
2005;8;Atlántico;8436;Manatí;;13,810;12,403;1,407
2005;8;Atlántico;8520;Palmar de Varela;;23,674;22,796;878
2005;8;Atlántico;8549;Piojó;;5,017;2,459;2,558
