DP;DPNOM;DPMP;MPIO;year;total
5;Antioquia;5001;Medellín;2015;2464322 
5;Antioquia;5002;Abejorral;2015;19290 
5;Antioquia;5004;Abriaquí;2015;2128 
5;Antioquia;5021;Alejandría;2015;3466 
5;Antioquia;5030;Amagá;2015;29555 
5;Antioquia;5031;Amalfi;2015;22088 
5;Antioquia;5034;Andes;2015;45814 
5;Antioquia;5036;Angelópolis;2015;8946 
5;Antioquia;5038;Angostura;2015;11354 
5;Antioquia;5040;Anorí;2015;17086 
5;Antioquia;5042;Santafé de Antioquia;2015;24549 
5;Antioquia;5044;Anza;2015;7568 
5;Antioquia;5045;Apartadó;2015;178257 
5;Antioquia;5051;Arboletes;2015;40147 
5;Antioquia;5055;Argelia;2015;8699 
5;Antioquia;5059;Armenia;2015;4210 
5;Antioquia;5079;Barbosa;2015;50052 
5;Antioquia;5086;Belmira;2015;6760 
5;Antioquia;5088;Bello;2015;455865 
5;Antioquia;5091;Betania;2015;9286 
5;Antioquia;5093;Betulia;2015;17542 
5;Antioquia;5101;Ciudad Bolívar;2015;27084 
5;Antioquia;5107;Briceño;2015;8702 
5;Antioquia;5113;Buriticá;2015;6601 
5;Antioquia;5120;Cáceres;2015;37806 
5;Antioquia;5125;Caicedo;2015;8205 
5;Antioquia;5129;Caldas;2015;77847 
5;Antioquia;5134;Campamento;2015;9091 
5;Antioquia;5138;Cañasgordas;2015;16763 
5;Antioquia;5142;Caracolí;2015;4595 
5;Antioquia;5145;Caramanta;2015;5362 
5;Antioquia;5147;Carepa;2015;55788 
5;Antioquia;5148;El Carmen de Viboral;2015;46751 
5;Antioquia;5150;Carolina;2015;3629 
5;Antioquia;5154;Caucasia;2015;112168 
5;Antioquia;5172;Chigorodó;2015;76202 
5;Antioquia;5190;Cisneros;2015;9058 
5;Antioquia;5197;Cocorná;2015;14972 
5;Antioquia;5206;Concepción;2015;3463 
5;Antioquia;5209;Concordia;2015;20653 
5;Antioquia;5212;Copacabana;2015;70169 
5;Antioquia;5234;Dabeiba;2015;23378 
5;Antioquia;5237;Don Matías;2015;22243 
5;Antioquia;5240;Ebéjico;2015;12515 
5;Antioquia;5250;El Bagre;2015;49583 
5;Antioquia;5264;Entrerrios;2015;9950 
5;Antioquia;5266;Envigado;2015;222455 
5;Antioquia;5282;Fredonia;2015;21561 
5;Antioquia;5284;Frontino;2015;16615 
5;Antioquia;5306;Giraldo;2015;4029 
5;Antioquia;5308;Girardota;2015;54240 
5;Antioquia;5310;Gómez Plata;2015;12810 
5;Antioquia;5313;Granada;2015;9859 
5;Antioquia;5315;Guadalupe;2015;6300 
5;Antioquia;5318;Guarne;2015;47797 
5;Antioquia;5321;Guatapé;2015;5279 
5;Antioquia;5347;Heliconia;2015;5906 
5;Antioquia;5353;Hispania;2015;4869 
5;Antioquia;5360;Itagui;2015;267851 
5;Antioquia;5361;Ituango;2015;20996 
5;Antioquia;5364;Jardín;2015;13748 
5;Antioquia;5368;Jericó;2015;12103 
5;Antioquia;5376;La Ceja;2015;52723 
5;Antioquia;5380;La Estrella;2015;62348 
5;Antioquia;5390;La Pintada;2015;6558 
5;Antioquia;5400;La Unión;2015;19119 
5;Antioquia;5411;Liborina;2015;9535 
5;Antioquia;5425;Maceo;2015;6855 
5;Antioquia;5440;Marinilla;2015;53374 
5;Antioquia;5467;Montebello;2015;6197 
5;Antioquia;5475;Murindó;2015;4593 
5;Antioquia;5480;Mutatá;2015;20612 
5;Antioquia;5483;Nariño;2015;17291 
5;Antioquia;5490;Necoclí;2015;62365 
5;Antioquia;5495;Nechí;2015;26591 
5;Antioquia;5501;Olaya;2015;3237 
5;Antioquia;5541;Peñol;2015;15889 
5;Antioquia;5543;Peque;2015;10925 
5;Antioquia;5576;Pueblorrico;2015;7030 
5;Antioquia;5579;Puerto Berrío;2015;46883 
5;Antioquia;5585;Puerto Nare;2015;18654 
5;Antioquia;5591;Puerto Triunfo;2015;20062 
5;Antioquia;5604;Remedios;2015;29199 
5;Antioquia;5607;Retiro;2015;19108 
5;Antioquia;5615;Rionegro;2015;120249 
5;Antioquia;5628;Sabanalarga;2015;8191 
5;Antioquia;5631;Sabaneta;2015;51860 
5;Antioquia;5642;Salgar;2015;17608 
5;Antioquia;5647;San Andrés de Cuerquía;2015;6226 
5;Antioquia;5649;San Carlos;2015;16064 
5;Antioquia;5652;San Francisco;2015;5318 
5;Antioquia;5656;San Jerónimo;2015;12635 
5;Antioquia;5658;San José de La Montaña;2015;3336 
5;Antioquia;5659;San Juan de Urabá;2015;25168 
5;Antioquia;5660;San Luis;2015;10939 
5;Antioquia;5664;San Pedro;2015;26592 
5;Antioquia;5665;San Pedro de Uraba;2015;31280 
5;Antioquia;5667;San Rafael;2015;12980 
5;Antioquia;5670;San Roque;2015;16789 
5;Antioquia;5674;San Vicente;2015;17197 
5;Antioquia;5679;Santa Bárbara;2015;22076 
5;Antioquia;5686;Santa Rosa de Osos;2015;35650 
5;Antioquia;5690;Santo Domingo;2015;10416 
5;Antioquia;5697;El Santuario;2015;27120 
5;Antioquia;5736;Segovia;2015;40174 
5;Antioquia;5756;Sonson;2015;35405 
5;Antioquia;5761;Sopetrán;2015;14696 
5;Antioquia;5789;Támesis;2015;14732 
5;Antioquia;5790;Tarazá;2015;42641 
5;Antioquia;5792;Tarso;2015;7776 
5;Antioquia;5809;Titiribí;2015;14393 
5;Antioquia;5819;Toledo;2015;6374 
5;Antioquia;5837;Turbo;2015;159268 
5;Antioquia;5842;Uramita;2015;8238 
5;Antioquia;5847;Urrao;2015;44648 
5;Antioquia;5854;Valdivia;2015;22179 
5;Antioquia;5856;Valparaíso;2015;6174 
5;Antioquia;5858;Vegachí;2015;9448 
5;Antioquia;5861;Venecia;2015;13253 
5;Antioquia;5873;Vigía del Fuerte;2015;5586 
5;Antioquia;5885;Yalí;2015;8318 
5;Antioquia;5887;Yarumal;2015;46865 
5;Antioquia;5890;Yolombó;2015;23958 
5;Antioquia;5893;Yondó;2015;18613 
5;Antioquia;5895;Zaragoza;2015;30738 
8;Atlántico;8001;Barranquilla;2015;1218475 
8;Atlántico;8078;Baranoa;2015;57843 
8;Atlántico;8137;Campo de La Cruz;2015;16040 
8;Atlántico;8141;Candelaria;2015;12474 
8;Atlántico;8296;Galapa;2015;42720 
8;Atlántico;8372;Juan de Acosta;2015;16806 
8;Atlántico;8421;Luruaco;2015;26886 
8;Atlántico;8433;Malambo;2015;121281 
8;Atlántico;8436;Manatí;2015;15723 
8;Atlántico;8520;Palmar de Varela;2015;25338 
8;Atlántico;8549;Piojó;2015;5134 
8;Atlántico;8558;Polonuevo;2015;15283 
8;Atlántico;8560;Ponedera;2015;22247 
8;Atlántico;8573;Puerto Colombia;2015;27103 
8;Atlántico;8606;Repelón;2015;26099 
8;Atlántico;8634;Sabanagrande;2015;31678 
8;Atlántico;8638;Sabanalarga;2015;98169 
8;Atlántico;8675;Santa Lucía;2015;11584 
8;Atlántico;8685;Santo Tomás;2015;25326 
8;Atlántico;8758;Soledad;2015;615492 
8;Atlántico;8770;Suan;2015;8752 
8;Atlántico;8832;Tubará;2015;11020 
8;Atlántico;8849;Usiacurí;2015;9390 
11;Bogotá, D.C.;11001;Bogotá, D.C.;2015;7878783 
13;Bolívar;13001;Cartagena;2015;1001755 
13;Bolívar;13006;Achí;2015;23051 
13;Bolívar;13030;Altos del Rosario;2015;13669 
13;Bolívar;13042;Arenal;2015;18876 
13;Bolívar;13052;Arjona;2015;72514 
13;Bolívar;13062;Arroyohondo;2015;9907 
13;Bolívar;13074;Barranco de Loba;2015;17768 
13;Bolívar;13140;Calamar;2015;23308 
13;Bolívar;13160;Cantagallo;2015;9239 
13;Bolívar;13188;Cicuco;2015;11118 
13;Bolívar;13212;Córdoba;2015;12435 
13;Bolívar;13222;Clemencia;2015;12540 
13;Bolívar;13244;El Carmen de Bolívar;2015;75151 
13;Bolívar;13248;El Guamo;2015;7757 
13;Bolívar;13268;El Peñón;2015;9484 
13;Bolívar;13300;Hatillo de Loba;2015;11971 
13;Bolívar;13430;Magangué;2015;123737 
13;Bolívar;13433;Mahates;2015;25786 
13;Bolívar;13440;Margarita;2015;9876 
13;Bolívar;13442;María La Baja;2015;48079 
13;Bolívar;13458;Montecristo;2015;21229 
13;Bolívar;13468;Mompós;2015;44124 
13;Bolívar;13473;Morales;2015;21182 
13;Bolívar;13490;Norosí (1);2015;5204 
13;Bolívar;13549;Pinillos;2015;24923 
13;Bolívar;13580;Regidor;2015;10489 
13;Bolívar;13600;Río Viejo (1)(3);2015;18076 
13;Bolívar;13620;San Cristóbal;2015;6669 
13;Bolívar;13647;San Estanislao;2015;16257 
13;Bolívar;13650;San Fernando;2015;13753 
13;Bolívar;13654;San Jacinto;2015;21536 
13;Bolívar;13655;San Jacinto del Cauca;2015;13426 
13;Bolívar;13657;San Juan Nepomuceno;2015;33466 
13;Bolívar;13667;San Martín de Loba;2015;17295 
13;Bolívar;13670;San Pablo;2015;33291 
13;Bolívar;13673;Santa Catalina;2015;13169 
13;Bolívar;13683;Santa Rosa;2015;22592 
13;Bolívar;13688;Santa Rosa del Sur;2015;42003 
13;Bolívar;13744;Simití;2015;20271 
13;Bolívar;13760;Soplaviento;2015;8441 
13;Bolívar;13780;Talaigua Nuevo;2015;11350 
13;Bolívar;13810;Tiquisio;2015;22041 
13;Bolívar;13836;Turbaco;2015;72168 
13;Bolívar;13838;Turbaná;2015;14883 
13;Bolívar;13873;Villanueva;2015;19691 
13;Bolívar;13894;Zambrano;2015;11611 
15;Boyacá;15001;Tunja;2015;188380 
15;Boyacá;15022;Almeida;2015;1754 
15;Boyacá;15047;Aquitania;2015;15241 
15;Boyacá;15051;Arcabuco;2015;5240 
15;Boyacá;15087;Belén;2015;7400 
15;Boyacá;15090;Berbeo;2015;1932 
15;Boyacá;15092;Betéitiva;2015;2069 
