pais;pais_iso3;id_region;nombre_region;abreviatura_region;id_provincia;nombre_provincia;id_comuna;nombre_comuna
Chile;CHL;1;Tarapacá;TPCA;11;Iquique;1101;Iquique
Chile;CHL;1;Tarapacá;TPCA;11;Iquique;1107;Alto Hospicio
Chile;CHL;1;Tarapacá;TPCA;14;Tamarugal;1401;Pozo Almonte
Chile;CHL;1;Tarapacá;TPCA;14;Tamarugal;1402;Camiña
Chile;CHL;1;Tarapacá;TPCA;14;Tamarugal;1403;Colchane
Chile;CHL;1;Tarapacá;TPCA;14;Tamarugal;1404;Huara
Chile;CHL;1;Tarapacá;TPCA;14;Tamarugal;1405;Pica
Chile;CHL;2;Antofagasta;ANTOF;21;Antofagasta;2101;Antofagasta
Chile;CHL;2;Antofagasta;ANTOF;21;Antofagasta;2102;Mejillones
Chile;CHL;2;Antofagasta;ANTOF;21;Antofagasta;2103;Sierra Gorda
Chile;CHL;2;Antofagasta;ANTOF;21;Antofagasta;2104;Taltal
Chile;CHL;2;Antofagasta;ANTOF;22;El Loa;2201;Calama
Chile;CHL;2;Antofagasta;ANTOF;22;El Loa;2202;Ollagüe
Chile;CHL;2;Antofagasta;ANTOF;22;El Loa;2203;San Pedro de Atacama
Chile;CHL;2;Antofagasta;ANTOF;23;Tocopilla;2301;Tocopilla
Chile;CHL;2;Antofagasta;ANTOF;23;Tocopilla;2302;María Elena
Chile;CHL;3;Atacama;ATCMA;31;Copiapó;3101;Copiapó
Chile;CHL;3;Atacama;ATCMA;31;Copiapó;3102;Caldera
Chile;CHL;3;Atacama;ATCMA;31;Copiapó;3103;Tierra Amarilla
Chile;CHL;3;Atacama;ATCMA;32;Chañaral;3201;Chañaral
Chile;CHL;3;Atacama;ATCMA;32;Chañaral;3202;Diego de Almagro
Chile;CHL;3;Atacama;ATCMA;33;Huasco;3301;Vallenar
Chile;CHL;3;Atacama;ATCMA;33;Huasco;3302;Alto del Carmen
Chile;CHL;3;Atacama;ATCMA;33;Huasco;3303;Freirina
Chile;CHL;3;Atacama;ATCMA;33;Huasco;3304;Huasco
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4101;La Serena
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4102;Coquimbo
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4103;Andacollo
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4104;La Higuera
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4105;Paiguano
Chile;CHL;4;Coquimbo;COQ;41;Elqui;4106;Vicuña
Chile;CHL;4;Coquimbo;COQ;42;Choapa;4201;Illapel
Chile;CHL;4;Coquimbo;COQ;42;Choapa;4202;Canela
