ano;ubigeo;ytocoh;pobreza
2014;10101;1345.002854;Fuera de la pobreza
2014;10101;1813.999687;Fuera de la pobreza
2014;10101;1813.999687;Fuera de la pobreza
2014;10101;4964.666667;Fuera de la pobreza
2014;10101;4964.666667;Fuera de la pobreza
2014;10101;4964.666667;Fuera de la pobreza
2014;10101;4964.666667;Fuera de la pobreza
2014;10502;4964.666667;Pobreza no extrema
2014;10502;4265.916667;Pobreza no extrema
2014;10502;4265.916667;Pobreza no extrema
2014;10502;4265.916667;Pobreza no extrema
2014;10502;4265.916667;Fuera de la pobreza
2014;10502;4265.916667;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10502;6369.333333;Fuera de la pobreza
2014;10516;283.2501152;Pobreza no extrema
2014;10201;283.2501152;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;14286.25;Fuera de la pobreza
2014;10201;2745.833333;Fuera de la pobreza
2014;10201;2745.833333;Fuera de la pobreza
2014;10201;2745.833333;Fuera de la pobreza
2014;10201;2745.833333;Fuera de la pobreza
2014;10201;2311.421735;Pobreza no extrema
2014;10201;2311.421735;Pobreza no extrema
2014;10201;2311.421735;Pobreza no extrema
2014;10201;2311.421735;Pobreza no extrema
2014;10701;2311.421735;Fuera de la pobreza
2014;10701;2311.421735;Fuera de la pobreza
2014;10701;1643.922874;Fuera de la pobreza
2014;10701;1643.922874;Fuera de la pobreza
2014;10701;1643.922874;Fuera de la pobreza
2014;10701;3291.416667;Fuera de la pobreza
2014;10201;3291.416667;Fuera de la pobreza
2014;10701;3291.416667;Fuera de la pobreza
2014;10701;3291.416667;Fuera de la pobreza
2014;10701;3291.416667;Fuera de la pobreza
2014;10702;3291.416667;Pobreza no extrema
2014;10702;248.0833333;Pobreza no extrema
2014;10702;248.0833333;Pobreza no extrema
2014;10702;412.5062077;Pobreza no extrema
2014;10609;536.1904762;Pobreza no extrema
2014;10609;2202.449461;Pobreza no extrema
2014;10609;2202.449461;Pobreza no extrema
2014;10609;2202.449461;Pobreza no extrema
2014;20101;2202.449461;Pobreza extrema
2014;20101;2202.449461;Pobreza extrema
2014;20101;731.4166667;Pobreza extrema
2014;20101;731.4166667;Pobreza extrema
2014;20101;4485.8778;Fuera de la pobreza
2014;20101;4485.8778;Fuera de la pobreza
2014;20105;4485.8778;Fuera de la pobreza
2014;20105;4485.8778;Fuera de la pobreza
2014;20105;1052.128832;Fuera de la pobreza
2014;20105;1052.128832;Fuera de la pobreza
2014;20105;1052.128832;Fuera de la pobreza
2014;20105;835.4361334;Fuera de la pobreza
2014;21801;835.4361334;Fuera de la pobreza
2014;21801;835.4361334;Fuera de la pobreza
2014;21801;835.4361334;Fuera de la pobreza
2014;21801;373.7639168;Fuera de la pobreza
2014;21809;373.7639168;Fuera de la pobreza
2014;21809;373.7639168;Fuera de la pobreza
2014;21809;1186.861127;Fuera de la pobreza
2014;21809;1186.861127;Fuera de la pobreza
2014;21809;1186.861127;Fuera de la pobreza
2014;21809;1186.861127;Fuera de la pobreza
2014;21809;265.7428001;Fuera de la pobreza
2014;21809;1683.820833;Fuera de la pobreza
2014;21809;1683.820833;Fuera de la pobreza
2014;21809;1683.820833;Fuera de la pobreza
